,Run_ID,Injection_latitude,Injection_altitude,sAOD,delta_sAOD,sAOD at inj lat,delta_sAOD at inj lat,AOD,delta_AOD,AOD at inj lat,delta_AOD at inj lat
0,u-dg683,30.625,12.300000190734863,0.004458996932953596,0.001971699547022566,0.004168218933045864,0.0019986238330602646,0.1318730115890503,0.003999261100866375,0.14198926091194153,-0.0004006624221801758
1,u-df777,30.625,12.899999618530273,0.005954485386610031,0.003467188000679001,0.006293142680078745,0.004123547580093145,0.13609442114830017,0.008220670660116253,0.15275682508945465,0.010366901755332947
2,u-de348,30.625,14.100000381469727,0.0202233474701643,0.01773605008423327,0.023750534281134605,0.021580939181149006,0.16609658300876617,0.038222832520582256,0.18830354511737823,0.04591362178325653
3,u-de517,30.625,15.399998664855957,0.06361018121242523,0.0611228838264942,0.06820687651634216,0.06603728141635656,0.2185884565114975,0.09071470602331358,0.23799318075180054,0.09560325741767883
4,u-de349,30.625,16.0,0.09579247236251831,0.09330517497658727,0.10152581334114075,0.09935621824115515,0.25219273567199707,0.12431898518381315,0.2750176787376404,0.13262775540351868
5,u-de350,30.625,18.0,0.14353032410144806,0.14104302671551702,0.14176009595394135,0.13959050085395575,0.28816166520118713,0.16028791471300322,0.3010600209236145,0.1586700975894928
6,u-de365,30.625,20.200000762939453,0.15780621767044067,0.15531892028450964,0.17466585338115692,0.17249625828117132,0.2972518503665924,0.1693780998784085,0.32338014245033264,0.18099021911621094
7,u-de110,40.625,12.300000190734863,0.007153666112571955,0.004666368726640925,0.00895043183118105,0.006160956807434559,0.13931792974472046,0.01144417925653654,0.14401555061340332,0.02306610345840454
8,u-de636,40.625,12.899999618530273,0.009670067578554153,0.007182770192623124,0.013436326757073402,0.010646851733326912,0.14479413628578186,0.016920385797597942,0.1550007462501526,0.03405129909515381
9,u-de111,40.625,14.100000381469727,0.03005552850663662,0.02756823112070559,0.04205596446990967,0.03926648944616318,0.17452922463417053,0.046655474145986614,0.18903028964996338,0.0680808424949646
10,u-de505,40.625,15.399998664855957,0.06882713735103607,0.06633983996510504,0.09089098125696182,0.08810150623321533,0.2186281532049179,0.09075440271673399,0.24369409680366516,0.12274464964866638
11,u-de145,40.625,16.0,0.08708490431308746,0.08459760692715643,0.11651916056871414,0.11372968554496765,0.23449262976646423,0.10661887927828032,0.2617690861225128,0.14081963896751404
12,u-de187,40.625,18.0,0.13052085041999817,0.12803355303406713,0.18146692216396332,0.17867744714021683,0.27298906445503235,0.14511531396684843,0.3238563537597656,0.20290690660476685
13,u-de369,40.625,20.200000762939453,0.14676854014396667,0.14428124275803564,0.19912423193454742,0.19633475691080093,0.2840791344642639,0.15620538397608,0.337490439414978,0.21654099225997925
14,u-dd987,50.625,12.300000190734863,0.011032753624022007,0.008545456238090977,0.01902463473379612,0.01581007125787437,0.14340487122535706,0.015531120737173137,0.15020878612995148,0.049562230706214905
15,u-de593,50.625,12.899999618530273,0.015688590705394745,0.013201293319463715,0.02942787855863571,0.02621331508271396,0.15315964818000793,0.025285897691824016,0.1692182570695877,0.06857170164585114
16,u-dd989,50.625,14.100000381469727,0.031762368977069855,0.029275071591138825,0.061768557876348495,0.058553994400426745,0.17145714163780212,0.043583391149618206,0.20243486762046814,0.10178831219673157
17,u-de506,50.625,15.399998664855957,0.060577258467674255,0.058089961081743226,0.10674609243869781,0.10353152896277606,0.2033112645149231,0.07543751402673918,0.24360772967338562,0.14296117424964905
18,u-de012,50.625,16.0,0.07131314277648926,0.06882584539055822,0.12733127176761627,0.12411670829169452,0.21270841360092163,0.08483466311273771,0.2637350261211395,0.16308847069740295
19,u-de013,50.625,18.0,0.10539507120847702,0.10290777382254598,0.1997101902961731,0.19649562682025135,0.24297544360160828,0.11510169311342436,0.33857619762420654,0.23792964220046997
20,u-de399,50.625,20.200000762939453,0.1368105411529541,0.13432324376702307,0.25331735610961914,0.2501027926336974,0.27181804180145264,0.14394429131326872,0.3844132125377655,0.28376665711402893
21,u-de018,60.625,12.300000190734863,0.014347116462886333,0.011859819076955304,0.03247268497943878,0.028989088023081422,0.14794248342514038,0.020068732936956463,0.1575704962015152,0.07136999815702438
22,u-de567,60.625,12.899999618530273,0.021612325683236122,0.019125028297305093,0.06165177375078201,0.05816817679442465,0.15909519791603088,0.031221447427846966,0.19219878315925598,0.10599828511476517
23,u-de026,60.625,14.100000381469727,0.03633170574903488,0.03384440836310385,0.09358455240726471,0.09010095545090735,0.17515671253204346,0.04728296204385954,0.2206045538187027,0.13440405577421188
24,u-de633,60.625,15.399998664855957,0.05273887515068054,0.05025157776474951,0.12448173016309738,0.12099813320674002,0.1912515014410019,0.06337775095281797,0.24605481326580048,0.15985431522130966
25,u-de050,60.625,16.0,0.06613274663686752,0.06364544925093649,0.152802512049675,0.14931891509331763,0.20214590430259705,0.07427215381441313,0.2755730450153351,0.18937254697084427
26,u-de052,60.625,18.0,0.08972208201885223,0.0872347846329212,0.20921751856803894,0.20573392161168158,0.22339557111263275,0.09552182062444883,0.3255945146083832,0.23939401656389236
27,u-de457,60.625,20.200000762939453,0.11023402959108353,0.10774673220515249,0.2647368311882019,0.26125323423184454,0.24509857594966888,0.11722482546148497,0.377681702375412,0.2914812043309212
28,u-dg027,70.625,12.300000190734863,0.01663815602660179,0.014150858640670762,0.06001712381839752,0.05630624480545521,0.1532367765903473,0.025363026102163372,0.166243776679039,0.10563967749476433
29,u-df710,70.625,12.899999618530273,0.023331288248300552,0.020843990862369523,0.08321411162614822,0.07950323261320591,0.1613651067018509,0.03349135621366697,0.19404612481594086,0.13344202563166618
30,u-dg309,70.625,14.100000381469727,0.037576328963041306,0.035089031577110276,0.11788354814052582,0.1141726691275835,0.17548267543315887,0.047608924944974956,0.2199833244085312,0.15937922522425652
31,u-dg028,70.625,15.399998664855957,0.05388409644365311,0.05139679905772208,0.14936202764511108,0.14565114863216877,0.19166599214076996,0.06379224165258604,0.24860970675945282,0.18800560757517815
32,u-dg549,70.625,16.0,0.06172819808125496,0.05924090069532393,0.15856817364692688,0.15485729463398457,0.19851887226104736,0.07064512177286345,0.2527332901954651,0.19212919101119041
33,u-dg552,70.625,18.0,0.07912014424800873,0.07663284686207769,0.22173558175563812,0.2180247027426958,0.21275855600833893,0.08488480552015501,0.31667667627334595,0.2560725770890713
34,u-dg655,70.625,20.200000762939453,0.10246874392032623,0.0999814465343952,0.2840067148208618,0.2802958358079195,0.2361794263124466,0.10830567582426268,0.36905181407928467,0.30844771489501
